model,model_id,family,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,imbalance_gap,wake_precision,wake_recall,wake_f1,nrem_precision,nrem_recall,nrem_f1,rem_precision,rem_recall,rem_f1,minority_recall,recall_range,recall_balance
LightGBM,lightgbm,Boosting,0.7795681063122923,0.6604834292401548,0.6761909529577271,0.776068768422478,0.5175991637179382,0.09987781546475083,0.6106194690265486,0.48,0.5374878286270691,0.8384310063039925,0.8665540540540541,0.8522605909576362,0.6428015564202335,0.6348962336664105,0.6388244392884764,0.5574481168332053,0.3865540540540541,0.6134459459459459
CatBoost (Optuna-tuned),catboost_tuned,Boosting,0.7538205980066445,0.7052583820781361,0.6750233903183172,0.761508613818549,0.5201075105828579,0.0864852235002318,0.5244299674267101,0.56,0.5416316232127838,0.8850415512465374,0.7709942084942085,0.8240907918493681,0.5684855233853007,0.7847809377401999,0.6593477558927995,0.6723904688700999,0.2247809377401998,0.7752190622598002
XGBoost (CUDA),xgboost_cuda,Boosting,0.7588039867109635,0.6630994748382711,0.6646227902418599,0.7598748092801932,0.49335924583266555,0.09525201903833336,0.5783132530120482,0.5008695652173913,0.5368126747437092,0.8432485805973834,0.8243243243243243,0.8336790726052471,0.5873555404486743,0.6641045349730976,0.6233766233766234,0.5824870500952445,0.323454759106933,0.676545240893067
CatBoost,catboost,Boosting,0.7368770764119601,0.7041426281337887,0.6641133825107793,0.7469619615310154,0.4968232737176953,0.08284857902023601,0.5021834061135371,0.6,0.5467511885895404,0.8837806967447173,0.7468629343629344,0.8095736332722993,0.5439650464227198,0.765564950038432,0.6360153256704981,0.682782475019216,0.16556495003843197,0.834435049961568
BiLSTM + attention,bilstm_attention,Sequence,0.7200996677740864,0.6588662244677684,0.6315321682534115,0.7273121382559649,0.44018450616234683,0.09577997000255334,0.45105820105820105,0.5930434782608696,0.512396694214876,0.8389296956977964,0.7717181467181468,0.803921568627451,0.5482093663911846,0.611837048424289,0.5782782419179078,0.6024402633425793,0.1786746684572772,0.8213253315427228
